Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2156.1600100000005
FDW14,OUT017,1546.42037
NCN55,OUT010,569.0259700000001
FDQ58,OUT017,2291.08438
FDY38,OUT027,3496.41541
FDH56,OUT046,2458.96585
FDL48,OUT018,1895.5991799999997
FDC48,OUT027,2570.02129
FDN33,OUT045,1882.0834399999999
FDA36,OUT017,2405.13592
FDT44,OUT017,2063.91342
FDQ56,OUT045,1433.43411
NCC54,OUT019,408.93435999999997
FDU11,OUT049,2443.41942
DRL59,OUT013,1529.04299
FDM24,OUT049,2259.15927
FDI57,OUT045,2518.08889
DRC12,OUT018,2018.0065099999997
NCM42,OUT027,2871.5288200000005
FDA46,OUT010,399.87948000000006
FDA31,OUT013,2770.0609
NCJ31,OUT035,2637.73315
FDG52,OUT046,1526.14676
NCL19,OUT019,350.90989
FDS10,OUT035,3174.0350500000004
FDX22,OUT010,371.9158800000001
NCF19,OUT035,1985.1825700000002
NCE06,OUT046,2290.45187
DRC27,OUT046,2486.9294500000005
FDE21,OUT035,2083.88742
NCR42,OUT019,262.25862
FDX51,OUT018,2421.58118
NCR06,OUT018,1105.2945800000002
FDU31,OUT027,5503.569380000001
FDU59,OUT017,2309.1608499999998
FDR03,OUT027,4591.22364
FDS49,OUT027,2770.1607700000004
FDD48,OUT010,254.93482
NCF18,OUT017,3345.2788100000007
NCD43,OUT027,2772.6575199999997
NCD54,OUT018,1597.6536800000001
FDY19,OUT010,213.78838000000002
NCY54,OUT017,2698.0879199999995
NCL19,OUT018,2135.05415
FDP23,OUT010,553.57941
FDC26,OUT013,2862.4739400000003
FDR14,OUT010,284.56292
NCS41,OUT035,2767.7971799999996
FDF41,OUT035,2890.9036
FDU34,OUT046,2419.41733
DRH11,OUT046,1848.9266
FDM03,OUT013,2198.005539999999
FDS31,OUT017,2726.35113
FDJ20,OUT017,1827.25481
FDV44,OUT027,4779.878069999999
FDG02,OUT049,2150.13452
FDA09,OUT013,2686.7360300000005
FDT04,OUT013,1251.4043900000001
FDL58,OUT019,360.5307
FDE52,OUT045,1612.5675999999999
FDW12,OUT035,1905.41973
FDL51,OUT017,2935.61207
NCY42,OUT027,3390.2536
FDR07,OUT017,1763.97052
FDN40,OUT045,1977.7589
FDB35,OUT027,2702.84839
FDA22,OUT017,2629.84342
NCL06,OUT046,3374.74046
FDI35,OUT013,2987.9439499999994
NCW42,OUT045,3283.0598
NCX06,OUT049,3393.11654
FDC37,OUT027,2570.0212899999997
FDZ14,OUT018,2046.50275
DRG49,OUT049,2984.6149499999997
NCG06,OUT045,3315.4509700000003
DRC36,OUT045,2260.62403
FDV21,OUT019,364.35905
FDB53,OUT046,2078.8273400000003
DRP47,OUT019,493.82385999999997
FDA14,OUT013,1701.2188700000002
DRC24,OUT035,1974.56306
FDW21,OUT018,1871.03116
NCH29,OUT046,2076.09756
FDU58,OUT013,2546.81816
FDY27,OUT017,2957.71663
FDV56,OUT035,1996.5011700000002
FDT59,OUT046,3105.05817
FDB23,OUT046,2905.51791
FDR49,OUT045,1172.3073500000003
FDB03,OUT010,410.66543999999993
FDN39,OUT045,2592.92481
FDX02,OUT027,4476.27327
FDQ16,OUT027,1933.84939
FDU35,OUT018,1960.3815199999997
NCT29,OUT013,1929.52169
FDZ27,OUT046,1866.67017
FDN57,OUT017,2642.3271700000005
FDA03,OUT018,2300.9049299999997
FDZ36,OUT045,2751.3519200000005
NCU05,OUT013,1705.74631
FDT39,OUT018,2513.82777
FDK60,OUT017,1569.8565300000002
FDZ25,OUT017,2856.78135
FDG12,OUT046,2411.7606299999998
DRB01,OUT019,396.5837700000001
NCC43,OUT027,6432.32709
FDX13,OUT019,443.52267
FDM22,OUT049,1609.5715
FDJ03,OUT027,3496.41541
FDU14,OUT018,2944.2341800000004
FDB33,OUT010,373.28077
FDP27,OUT046,2796.0271
FDO38,OUT010,216.31841999999997
FDE28,OUT027,4769.325140000001
FDO27,OUT035,2652.1477200000004
DRL23,OUT027,3286.4553800000003
FDS28,OUT046,1736.1067900000003
FDX24,OUT013,1944.90167
FDZ02,OUT035,2785.30772
FDL46,OUT045,2198.17199
FDS60,OUT027,2997.46489
NCO06,OUT017,1055.8589299999999
FDO16,OUT035,2215.4495
FDC60,OUT049,1998.0990900000002
FDA48,OUT018,2048.5667300000005
FDZ36,OUT027,4497.1461
FDK27,OUT045,2238.35302
FDW23,OUT018,1873.62778
FDM14,OUT018,1868.1016399999996
FDM14,OUT013,2740.73241
FDW60,OUT018,2076.76336
FDE21,OUT013,2109.1878199999996
NCM42,OUT035,2674.2189900000003
FDY59,OUT010,232.59723000000002
DRI49,OUT049,2420.34945
FDT28,OUT019,293.38476999999995
FDQ22,OUT018,1541.85964
FDR60,OUT049,1348.9107999999999
FDC50,OUT019,392.55568
FDV24,OUT013,2494.3198299999995
DRF48,OUT010,378.5073000000001
FDQ47,OUT046,1880.6519700000001
DRN36,OUT049,1873.8940999999995
NCY06,OUT035,2891.43624
FDE52,OUT035,2785.30772
NCB54,OUT045,2504.4066999999995
NCF31,OUT035,3106.32319
FDJ08,OUT027,4713.03175
NCC07,OUT017,1830.08446
NCD19,OUT027,1838.9063099999998
FDL46,OUT049,2050.1979400000005
FDM20,OUT045,2761.13918
NCI06,OUT010,444.38820999999996
DRM11,OUT035,2648.31937
NCH07,OUT018,2118.54231
FDS23,OUT013,2240.5168700000004
FDO49,OUT018,1061.5848099999998
FDS35,OUT049,1663.5013
DRK39,OUT045,1636.03705
DRI39,OUT049,1684.1743900000001
FDV04,OUT017,2247.27474
NCN14,OUT035,2599.8824200000004
FDH08,OUT013,3143.0087700000004
FDS20,OUT046,2890.2710899999997
FDV40,OUT049,1389.79092
FDZ48,OUT010,274.34289
FDS24,OUT027,3974.359940000001
FDK44,OUT049,2847.85963
FDS48,OUT045,1917.30426
FDK26,OUT010,314.05786
FDD23,OUT045,2503.7741899999996
NCH54,OUT017,2355.53382
NCP14,OUT010,298.21182
FDM60,OUT010,231.86485
FDV24,OUT017,2052.29521
FDH08,OUT018,2660.50351
FDS12,OUT027,2760.2736400000003
FDR39,OUT027,4347.60742
FDP12,OUT027,3767.3627199999996
DRF60,OUT027,3865.301900000001
FDC09,OUT035,1996.5011700000002
FDF50,OUT018,2513.99422
FDG28,OUT035,2435.66285
NCE19,OUT017,1171.97445
NCM53,OUT010,428.70862
NCN18,OUT049,2099.1342400000003
FDF32,OUT035,2618.5914
FDF11,OUT013,3372.1438399999997
DRI59,OUT049,2432.5002999999997
NCG54,OUT035,3170.4730200000004
FDM44,OUT046,1908.6821499999999
FDT57,OUT018,2528.44208
FDV24,OUT046,2134.05545
FDI50,OUT019,495.6881
FDS09,OUT035,1755.4482799999998
NCC31,OUT027,3589.8604399999995
FDQ07,OUT019,365.52419999999995
FDC22,OUT017,2739.86687
FDZ56,OUT046,2330.1335499999996
FDZ40,OUT019,242.0183000000001
FDS46,OUT027,3072.7002899999998
DRD24,OUT045,1932.9838500000005
FDV45,OUT017,2965.30675
FDL26,OUT045,2753.94854
FDA56,OUT018,1884.7133500000004
FDN27,OUT046,1819.4649500000003
FDM20,OUT049,3304.7315899999994
FDO16,OUT017,1490.3267199999998
FDL03,OUT035,2713.4678999999996
FDE58,OUT046,2419.4173299999998
FDI02,OUT027,3379.76725
NCC55,OUT019,232.46407
FDR03,OUT018,2183.9904500000002
FDB14,OUT017,2222.50698
FDR45,OUT013,3189.7812200000003
NCN07,OUT017,1918.9021799999998
FDM51,OUT019,399.11380999999994
FDT52,OUT027,4855.47966
FDL26,OUT046,2335.6596900000004
NCZ42,OUT046,2894.83182
DRI47,OUT019,371.11692000000005
FDW40,OUT013,2315.11976
FDN34,OUT046,1911.3453499999996
FDS01,OUT035,2263.6201300000002
NCG55,OUT045,1938.90947
FDC11,OUT035,1939.44211
FDX35,OUT018,2796.59303
NCB06,OUT046,2805.6146200000003
FDR09,OUT019,377.1757
FDC53,OUT017,1496.5852400000003
FDY45,OUT013,3659.2368
FDA22,OUT010,379.13981
FDE02,OUT035,1491.1589699999997
FDW21,OUT045,1772.3928900000003
FDV34,OUT046,1434.1332
FDS59,OUT049,2261.62273
NCW17,OUT017,1928.1568
NCK54,OUT046,2081.35738
FDG17,OUT019,467.89095
FDG35,OUT017,2474.9783400000006
FDD08,OUT010,353.34005999999994
NCO07,OUT017,2934.1806
FDJ10,OUT010,571.9887799999999
FDW36,OUT017,1505.0741899999998
FDW21,OUT010,294.68307999999996
FDY19,OUT017,2208.2921499999993
DRE03,OUT013,1937.91077
NCC55,OUT049,1416.5227899999998
FDH52,OUT010,259.06278000000003
FDO09,OUT017,4219.10802
FDU43,OUT045,4218.4089300000005
FDX09,OUT010,394.18689000000006
FDH40,OUT019,329.60429
FDW58,OUT017,2376.20691
FDC47,OUT017,4237.05133
NCR41,OUT035,1608.77254
